['234', '242', '380', '313', '309', '63', '248', '74', '262', '276']
['36', '354', '491', '205', '158', '148', '362', '94', '215', '109']
['53', '213', '90', '78', '291', '329', '266', '420', '241', '325']
['29', '81', '42', '459', '468', '172', '352', '190', '278', '476']
['231', '331', '22', '87', '144', '365', '273', '319', '182', '493']
['403', '99', '465', '204', '324', '14', '285', '199', '371', '239']
['377', '436', '43', '57', '368', '497', '270', '105', '346', '496']
['268', '139', '83', '389', '409', '197', '245', '492', '46', '233']
['79', '220', '314', '442', '327', '156', '217', '264', '34', '414']
['131', '342', '135', '126', '441', '488', '259', '374', '45', '445']
['438', '317', '347', '232', '76', '154', '225', '189', '426', '18']
['115', '15', '396', '271', '134', '1', '103', '116', '85', '469']
['192', '287', '428', '282', '236', '11', '478', '322', '200', '112']
['405', '375', '345', '147', '461', '127', '425', '229', '474', '80']
['140', '462', '464', '406', '363', '338', '240', '435', '381', '167']
['228', '49', '16', '137', '466', '138', '495', '483', '274', '227']
['251', '110', '117', '59', '65', '198', '2', '61', '71', '56']
['101', '221', '310', '301', '344', '300', '256', '366', '177', '160']
['341', '385', '411', '181', '174', '194', '382', '104', '128', '119']
['367', '252', '379', '303', '193', '155', '237', '407', '129', '123']
['82', '0', '361', '48', '424', '455', '297', '38', '258', '404']
['296', '196', '323', '302', '393', '69', '97', '142', '261', '443']
['305', '489', '161', '64', '19', '108', '209', '275', '422', '8']
['373', '316', '295', '477', '390', '89', '299', '353', '41', '444']
['235', '293', '499', '351', '336', '157', '388', '279', '26', '451']
['440', '169', '98', '44', '332', '272', '433', '498', '467', '6']
['454', '175', '369', '31', '337', '397', '333', '481', '330', '318']
['456', '471', '173', '211', '39', '30', '54', '93', '180', '164']
['179', '170', '418', '202', '33', '490', '485', '75', '358', '286']
['218', '122', '398', '20', '401', '132', '32', '21', '186', '121']
['143', '289', '384', '383', '472', '146', '9', '166', '165', '35']
['23', '415', '439', '214', '432', '187', '315', '96', '475', '7']
['290', '387', '413', '312', '410', '431', '392', '378', '254', '416']
['230', '216', '17', '184', '3', '400', '419', '222', '391', '349']
['4', '84', '124', '10', '320', '457', '343', '162', '307', '395']
['195', '446', '47', '487', '399', '386', '484', '460', '470', '107']
['91', '255', '153', '328', '394', '52', '141', '37', '224', '429']
['298', '437', '321', '149', '5', '27', '62', '463', '283', '111']
['458', '294', '68', '133', '58', '257', '247', '427', '449', '243']
['51', '269', '311', '334', '130', '72', '145', '284', '152', '494']
['355', '67', '423', '210', '253', '360', '277', '106', '250', '114']
['206', '118', '120', '203', '281', '408', '304', '452', '267', '88']
['249', '244', '50', '55', '60', '260', '326', '212', '171', '450']
['12', '125', '280', '412', '207', '28', '178', '24', '370', '306']
['92', '372', '13', '263', '486', '102', '335', '473', '113', '176']
['238', '430', '350', '183', '292', '417', '73', '226', '163', '151']
['246', '482', '66', '25', '219', '95', '308', '223', '376', '288']
['77', '40', '364', '356', '188', '479', '447', '191', '402', '168']
['70', '208', '86', '136', '348', '448', '359', '150', '434', '159']
['453', '201', '357', '340', '339', '480', '100', '265', '421', '185']
