['251', '95', '105', '447', '450', '371', '199', '418', '345', '435']
['499', '197', '112', '156', '357', '277', '479', '113', '486', '98']
['342', '73', '34', '151', '443', '149', '237', '415', '117', '249']
['420', '78', '428', '74', '399', '314', '248', '271', '200', '228']
['377', '372', '278', '24', '436', '374', '487', '252', '449', '87']
['217', '281', '419', '444', '343', '110', '43', '115', '355', '287']
['137', '239', '64', '121', '177', '339', '386', '423', '188', '473']
['75', '456', '416', '66', '56', '362', '412', '475', '89', '366']
['93', '40', '466', '446', '169', '72', '172', '431', '83', '359']
['58', '26', '313', '19', '472', '293', '99', '459', '233', '37']
['207', '88', '22', '53', '221', '319', '413', '403', '300', '325']
['152', '124', '100', '405', '128', '103', '398', '1', '82', '102']
['163', '480', '247', '133', '477', '69', '350', '360', '145', '146']
['198', '453', '41', '44', '338', '246', '402', '225', '375', '491']
['14', '250', '392', '175', '282', '286', '256', '147', '364', '424']
['97', '222', '48', '417', '264', '6', '214', '328', '191', '378']
['86', '60', '385', '454', '383', '331', '90', '12', '437', '427']
['407', '9', '67', '307', '109', '462', '294', '139', '440', '144']
['349', '162', '426', '283', '63', '296', '316', '155', '474', '59']
['51', '65', '259', '284', '204', '324', '183', '186', '76', '370']
['482', '451', '131', '356', '481', '261', '302', '168', '195', '478']
['368', '206', '389', '335', '114', '13', '7', '457', '352', '184']
['5', '260', '215', '268', '497', '218', '213', '384', '336', '135']
['267', '4', '174', '432', '29', '31', '150', '275', '279', '442']
['351', '304', '123', '381', '140', '365', '187', '161', '46', '498']
['190', '493', '142', '298', '158', '170', '471', '312', '220', '265']
['367', '141', '358', '120', '274', '290', '379', '111', '468', '317']
['148', '332', '25', '297', '57', '45', '257', '270', '54', '134']
['35', '182', '409', '258', '327', '91', '337', '363', '376', '305']
['20', '488', '266', '484', '243', '16', '194', '126', '219', '15']
['410', '388', '136', '346', '394', '181', '130', '179', '254', '340']
['463', '189', '495', '116', '209', '49', '210', '315', '301', '176']
['289', '81', '408', '396', '216', '361', '353', '485', '452', '94']
['492', '465', '311', '430', '160', '201', '11', '8', '36', '159']
['236', '390', '154', '92', '458', '125', '303', '321', '47', '421']
['119', '422', '231', '21', '393', '3', '334', '180', '107', '17']
['341', '50', '467', '320', '380', '157', '192', '476', '439', '129']
['469', '269', '288', '226', '39', '104', '295', '122', '18', '391']
['230', '470', '10', '441', '211', '232', '434', '229', '28', '276']
['108', '397', '118', '429', '273', '348', '42', '0', '185', '30']
['496', '262', '455', '127', '208', '38', '483', '489', '387', '448']
['71', '308', '445', '373', '203', '460', '84', '490', '33', '138']
['404', '322', '80', '242', '153', '235', '241', '238', '414', '395']
['354', '27', '310', '401', '344', '164', '347', '255', '318', '329']
['165', '369', '106', '61', '23', '425', '32', '62', '55', '70']
['196', '227', '400', '291', '77', '263', '132', '85', '173', '299']
['79', '244', '326', '171', '234', '253', '272', '166', '2', '202']
['309', '178', '212', '461', '323', '68', '240', '280', '223', '96']
['333', '494', '438', '464', '382', '52', '143', '101', '205', '224']
['433', '411', '167', '193', '306', '245', '330', '406', '285']
['292']
